Fish ID,Sample type,Lake,Sampling year,Sampling month,Sampling date,Temperature ©,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Mass (g),Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),TDN (µg/L),N excretion (µg),N excretion rate (µg/ind/h),TDP (µg/L),P excretion (µg),P excretion rate (µg/ind/h),DOC (µg/L)
L22212,F12,222,2014,8,13,17.0,NA,0.75,1004,1035,31,71,69,2.927,2014-08-13,2016-03-25,2014-08-13,NA,13.32201569,NA,NA,NA,17.64,10.26,19.86,NA
L22213,F13,222,2014,8,13,17.0,NA,0.75,1004,1036,32,80,77,4.931,2014-08-13,2016-03-25,2014-08-13,NA,13.50996865,NA,NA,NA,8.20,3.19,5.97,NA
L22214,F14,222,2014,8,13,17.0,NA,0.75,1005,1037,32,67,65,2.618,2014-08-13,2016-03-25,2014-08-13,NA,14.5981282,NA,NA,NA,13.92,7.47,14.01,NA
L22215,F15,222,2014,8,13,17.0,NA,0.75,1005,1037,32,70,66,2.924,2014-08-13,2016-03-25,2014-08-13,NA,14.46673702,NA,NA,NA,12.45,6.37,11.94,NA
L22216,F16,222,2014,8,13,17.0,NA,0.75,1007,1038,31,71,68,3.352,2014-08-13,2016-03-25,2014-08-13,NA,13.39766808,NA,NA,NA,9.29,4.00,7.75,NA
L22217,F17,222,2014,8,13,17.0,NA,0.75,1008,1038,30,83,78,5.2,2014-08-13,2016-03-25,2014-08-13,NA,13.27454609,NA,NA,NA,13.36,7.05,14.10,NA
L22218,F18,222,2014,8,13,17.0,NA,0.75,1008,1039,31,78,72,3.628,2014-08-13,2016-03-25,2014-08-13,NA,16.5866252,NA,NA,NA,NA,NA,NA,NA
L22219,F19,222,2014,8,13,17.0,NA,0.75,1009,1039,30,78,76,4.161,2014-08-13,2016-03-25,2014-08-13,NA,16.03144455,418.6651424,179.6360434,359.2720869,12.39,6.32,12.65,NA
L22220,F20,222,2014,8,13,17.0,NA,0.75,1009,1040,31,94,90,8.508,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,14.67,8.03,15.55,NA
L222C1,C1,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,4.01,0.04,NA,NA
L222C2,C2,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.96,0.00,NA,NA
L222C3,C3,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.80,-0.12,NA,NA
L222C4,C4,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,3.91,-0.03,NA,NA
L222C5,C5,222,2014,8,13,17.0,NA,0.75,958,1038,40,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,NA,318.7054653,79.67636632,NA,4.10,0.11,NA,NA
L2391,F1,239,2014,8,15,18.0,NA,0.75,857,927,30,47,44,0.878,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,11.32,5.06,10.12,NA
L2392,F2,239,2014,8,15,18.0,NA,0.75,858,928,30,51,48,1.29,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,11.67,5.33,10.65,NA
L2393,F3,239,2014,8,15,18.0,NA,0.75,858,928,30,59,54,1.623,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,19.75,11.38,22.77,NA
L2394,F4,239,2014,8,15,18.0,NA,0.75,859,929,30,47,43,0.715,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,14.27,7.28,14.55,NA
L2395,F5,239,2014,8,15,18.0,NA,0.75,900,929,29,55,51,1.435,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,13.31,6.56,13.56,NA
L2396,F6,239,2014,8,15,18.0,NA,0.75,900,931,31,48,45,0.891,NA,2016-03-25,2014-08-15,NA,NA,NA,NA,NA,9.14,3.43,6.63,NA
