ID,Site.name,Species.code,Sampling.method,Incub.Container,Vol..pre-filtered.water,Incub..Start.time,Incub..End.time,Time.elapsed,Wet.mass,Dry.mass,Comments,SRP,P.excretion,P.excretion.rate,NH4,N.excretion,N.excretion.rate,Amhistorical.DOC,AmDOC,DOC,C.excretion,C.excretion.rate,RamanArea,A254,SUVA254,SUVA.excretion,SUVA.excretion.rate,A280,A350,A440,S275to295,S350to400,SR,SR.excretion.rate,SR.excretion,BA,BA.excretion,BA.excretion.rate,FI,FI.excretion,FI.excretion.rate,HIX,HIX.ohno,HIX.excretion,HIX.excretion.rate,PeakA,PeakB,PeakC,PeakD,PeakE,PeakM,PeakN,PeakP,PeakT,C1,C1.excretion,C1.excretion.rate,C2,C2.excretion,C2.excretion.rate,C3,C3.excretion,C3.excretion.rate,C4,C4.excretion,C4.excretion.rate,C5,C5.excretion,C5.excretion.rate,C6,C7,C7.excretion,C7.excretion.rate,AmRamanArea,AmA254,AmSUVA254,AmA280,AmA350,AmA440,AmS275to295,AmS350to400,AmSR,AmBA,AmFI,AmHIX,AmHIX.ohno,AmPeakA,AmPeakB,AmPeakC,AmPeakD,AmPeakE,AmPeakM,AmPeakN,AmPeakP,AmPeakT,AmC1,AmC2,AmC3,AmC4,AmC5,AmC6,AmC7
111,L239,YP,SN,1L WP,0.5,10.47,11.17,30,5.65,1.4125,,19.78313595,8.754895988,17.50979198,273.97752,134.2554942,268.5109884,7.55,7.156,4.895,-0.0835,-0.167,137.2924599,10.85659901,2.21789561,0.080953791,0.161907583,7.503561524,2.037688682,0.406667636,0.019992237,0.019117376,1.045762625,-0.028195009,-0.056390017,0.512170011,-0.005430891,-0.010861781,1.332021088,-0.001896188,-0.003792376,4.94862075,0.831893805,-0.00184706,-0.00369412,0.660198949,0.183239671,0.381416421,0.143863799,0.032732349,0.37005762,0.222793443,NA,0.206827122,0.26286567,-0.003129879,-0.006259759,0.375542653,-0.008089679,-0.016179357,0.194082782,0.002133907,0.004267815,0.04989373,-0.001918794,-0.003837587,0.082744644,0.000852026,0.001704051,0,0.192824764,0.011699423,0.023398847,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
112,L239,YP,SN,1L WP,0.6,10.49,11.19,30,8.63,2.1575,,13.02497062,6.450975991,12.90195198,250.0867938,146.7721573,293.5443146,7.55,7.156,4.986,-0.0456,-0.0912,136.213139,11.05969257,2.218149333,0.097296784,0.194593567,7.655371099,2.165099356,0.521071835,0.020349509,0.016998054,1.197166977,0.0570086,0.114017201,0.516440932,-0.003954516,-0.007909032,1.31695903,-0.01131266,-0.02262532,4.755820773,0.826262832,-0.005595056,-0.011190112,0.693956239,0.202243642,0.391658566,0.148672122,0.0363628,0.386661716,0.240884109,NA,0.22307929,0.275884613,0.004055511,0.008111022,0.398941947,0.004331962,0.008663923,0.201586366,0.007062839,0.014125678,0.053030205,-0.000420667,-0.000841334,0.083846509,0.00168355,0.0033671,0,0.204590496,0.021098747,0.042197494,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
113,L239,YP,SN,1L WP,0.6,10.51,"11,21",30,9.66,2.415,,9.185103964,4.147055994,8.294111988,494.1876923,293.2326965,586.4653929,7.55,7.156,5.235,0.1038,0.2076,137.6690032,10.69257662,2.042517024,-0.008082602,-0.016165203,7.329875077,1.925391368,0.371818075,0.019168494,0.02007982,0.954614832,-0.088522687,-0.177045374,0.545448262,0.013449881,0.026899763,1.335237905,-0.000345336,-0.000690671,4.365305463,0.813617322,-0.013182362,-0.026364724,0.681468963,0.253925512,0.395730527,0.155028792,0.041961493,0.399417637,0.231792436,NA,0.221218021,0.281377096,0.007351001,0.014702001,0.404931815,0.007925882,0.015851765,0.180177688,-0.005782367,-0.011564735,0.066296462,0.007539087,0.015078174,0.090744648,0.005822433,0.011644866,0,0.214215333,0.026873649,0.053747298,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
114,L239,YP,SN,1L WP,0.6,10.53,11.24,31,8.65,2.1625,,31.4563306,17.50979198,33.88991995,279.1711562,164.2227747,317.8505318,7.55,7.156,5.244,0.1092,0.211354839,136.4703549,11.82383668,2.254736208,0.119248909,0.230804339,8.174254476,2.422820899,0.626618164,0.019986517,0.016824418,1.187946988,0.051476607,0.099632143,0.499139528,-0.014335359,-0.027745856,1.250836689,-0.050986065,-0.098682706,4.047605877,0.801886276,-0.02022099,-0.0391374,0.717151512,0.420179202,0.4283732,0.152662403,0.039262905,0.487740464,0.246585986,NA,0.248276515,0.286037106,0.010147007,0.019639368,0.450793508,0.035442898,0.068599158,0.206073622,0.009755193,0.018881018,0.053573938,-9.44273E-05,-0.000182762,0.074138292,-0.00414138,-0.008015575,0,0.242998623,0.044143623,0.085439271,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
115,L239,YP,SN,1L WP,0.6,10.56,11.26,30,6.3,1.575,,13.94653862,7.00391679,14.00783358,163.8724338,95.04354136,190.0870827,7.55,7.156,6.796,1.0404,2.0808,136.7460451,11.46576505,1.687134351,-0.221312205,-0.442624411,8.069676635,2.158771811,0.426538604,0.021991052,0.019327778,1.13779513,0.021385492,0.042770984,0.511381521,-0.006990163,-0.013980326,1.276178615,-0.03578091,-0.071561819,2.310083631,0.69789283,-0.082617057,-0.165234115,0.737089708,0.920644724,0.545176269,0.156650829,0.034575912,0.922015931,0.36657308,NA,0.480097331,0.313286171,0.026496445,0.052992891,0.747314887,0.213355726,0.426711451,0.081909511,-0.064743274,-0.129486547,0.053554811,-0.000105904,-0.000211808,0.009346861,-0.043016239,-0.086032478,0,0.458988012,0.173737257,0.347474513,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
116,L239,YP,SN,1L WP,0.6,10.58,11.28,30,6.04,1.51,,25.77332794,14.09999038,28.19998076,93.03123689,52.53882319,105.0776464,7.55,7.156,5.249,0.1122,0.2244,135.7660917,11.71421279,2.231703713,0.105429411,0.210858823,8.21445479,2.324797788,0.578708109,0.019523524,0.017667211,1.105071106,0.001751078,0.003502155,0.513552983,-0.005687286,-0.011374572,1.311293963,-0.0147117,-0.029423401,3.325042092,0.768788377,-0.040079729,-0.080159457,0.735573024,0.385068472,0.44249018,0.165277444,0.046450766,0.460120743,0.405691468,NA,0.464150503,0.300371852,0.018747854,0.037495709,0.438950191,0.028336908,0.056673816,0.18557999,-0.002540986,-0.005081972,0.06072396,0.004195586,0.008391171,0.154143392,0.04386168,0.087723359,0,0.393723656,0.134578643,0.269157286,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
117,L239,YP,SN,1L WP,0.3,11,11.3,30,2.97,0.7425,dead after experiment,26.54130127,7.28038719,14.56077438,199.1891596,58.11678841,116.2335768,7.55,7.156,4.982,-0.024,-0.048,136.213139,10.7273334,2.153218265,0.029169071,0.058338143,7.417320645,2.063294562,0.39327472,0.020208116,0.019881974,1.016403908,-0.025724621,-0.051449241,0.54334439,0.006093779,0.012187558,1.292432682,-0.013014235,-0.026028469,4.76325391,0.826486909,-0.002730305,-0.00546061,0.671426912,0.184826057,0.389540175,0.148794029,0.035809625,0.401681623,0.221407074,NA,0.216626485,0.269271709,4.38843E-05,8.77686E-05,0.413426926,0.006511475,0.013022949,0.185366022,-0.001334684,-0.002669367,0.057548604,0.001145186,0.002290372,0.084087674,0.000914124,0.001828248,0,0.198959876,0.008860187,0.017720375,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
118,L239,YP,SN,1L WP,0.3,11.02,11.35,33,0.96,0.24,,19.32235195,5.114702393,9.299458896,66.23207441,18.22966285,33.14484155,7.55,7.156,4.892,-0.051,-0.092727273,136.213139,10.63679308,2.174324015,0.035500796,0.064546903,7.276816442,1.970524307,0.376025266,0.020998167,0.019955374,1.052256273,-0.014968911,-0.027216202,0.568859206,0.013748224,0.024996771,1.299127539,-0.011005777,-0.020010504,4.4929289,0.817947762,-0.005292049,-0.009621907,0.677456752,0.210817198,0.397479988,0.145955671,0.041810926,0.399380505,0.241764293,NA,0.222594196,0.271244888,0.000635838,0.001156069,0.413773565,0.006615466,0.012028121,0.18091951,-0.002668637,-0.004852068,0.059927039,0.001858717,0.003379485,0.08144094,0.000120104,0.000218372,0,0.209076972,0.011895316,0.021627848,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
119,L239,YP,SN,1L WP,0.3,11.03,11.35,32,2.26,0.565,,25.46613861,6.95783839,13.04594698,175.2984334,50.94957053,95.53044475,7.55,7.156,5.148,0.0258,0.048375,136.4703549,11.90276539,2.31211449,0.076837939,0.144071135,8.530061571,2.730551655,0.682201754,0.018065489,0.016866421,1.071092022,-0.009318186,-0.017471599,0.531026663,0.002398461,0.004497115,1.223749994,-0.033619041,-0.063035702,4.772533633,0.826765843,-0.002646625,-0.004962421,0.710328813,0.250151764,0.440124829,0.159299585,0.044696952,0.490889125,0.241188076,NA,0.22876217,0.296133191,0.008102329,0.015191866,0.49341203,0.030507006,0.057200636,0.165238314,-0.007372996,-0.013824368,0.066898248,0.003950079,0.007406399,0.079524978,-0.000454684,-0.000852533,0,0.213454384,0.01320854,0.024766012,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
120,L239,YP,SN,1L WP,0.3,11.04,11.39,35,3.42,0.855,,48.04455458,13.73136318,23.53947974,285.4035195,83.98109638,143.9675938,7.55,7.156,4.869,-0.0579,-0.099257143,139.7355471,11.11413612,2.282632186,0.067993248,0.116559853,7.686522824,2.146651178,0.456622543,0.020364379,0.019174035,1.062081041,-0.012021481,-0.020608252,0.522856226,-5.26699E-05,-9.02913E-05,1.326710709,-0.002730826,-0.004681417,5.12209193,0.836657141,0.000320765,0.000549882,0.65272631,0.17188125,0.378532553,0.142771169,0.035085612,0.370737554,0.209247823,NA,0.192785305,0.263041818,-0.001825083,-0.003128714,0.379831383,-0.003567188,-0.00611518,0.190955134,0.00034205,0.000586371,0.050409098,-0.000996666,-0.00170857,0.080565066,-0.000142658,-0.000244557,0,0.177852705,0.002528036,0.004333776,135.3255103,23.25413827,3.249600094,16.7208001,5.171385897,1.077515404,0.017078863,0.018119912,0.942546677,0.45906881,1.2246417,8.703996428,0.896949674,1.652615157,0.434936363,1.031957253,0.426564663,0.111372499,1.234758148,0.374734498,NA,0.224853155,0.772422998,1.204860883,0.392932009,0.186234739,0.135777675,0,0.21650598
