"Plot Title: ela_meso_8 "
"#","Time, GMT-04:00","Temp, °C()","Host Connected()","Coupler Attached()","Stopped()","End Of File()"
126,06/29/12 02:30:00  PM,23.004,,,,
127,06/29/12 03:00:00  PM,23.388,,,,
128,06/29/12 03:30:00  PM,23.004,,,,
129,06/29/12 04:00:00  PM,23.388,,,,
130,06/29/12 04:30:00  PM,23.196,,,,
131,06/29/12 05:00:00  PM,23.581,,,,
132,06/29/12 05:30:00  PM,23.581,,,,
133,06/29/12 06:00:00  PM,23.581,,,,
134,06/29/12 06:30:00  PM,23.581,,,,
135,06/29/12 07:00:00  PM,23.484,,,,
136,06/29/12 07:30:00  PM,23.388,,,,
137,06/29/12 08:00:00  PM,23.484,,,,
138,06/29/12 08:30:00  PM,23.388,,,,
139,06/29/12 09:00:00  PM,23.484,,,,
140,06/29/12 09:30:00  PM,23.484,,,,
141,06/29/12 10:00:00  PM,23.484,,,,
142,06/29/12 10:30:00  PM,23.388,,,,
143,06/29/12 11:00:00  PM,23.388,,,,
144,06/29/12 11:30:00  PM,23.292,,,,
145,06/30/12 12:00:00  AM,23.196,,,,
146,06/30/12 12:30:00  AM,23.100,,,,
147,06/30/12 01:00:00  AM,23.100,,,,
148,06/30/12 01:30:00  AM,23.004,,,,
149,06/30/12 02:00:00  AM,22.908,,,,
150,06/30/12 02:30:00  AM,22.908,,,,
151,06/30/12 03:00:00  AM,22.812,,,,
152,06/30/12 03:30:00  AM,22.812,,,,
153,06/30/12 04:00:00  AM,22.717,,,,
154,06/30/12 04:30:00  AM,22.621,,,,
155,06/30/12 05:00:00  AM,22.525,,,,
156,06/30/12 05:30:00  AM,22.429,,,,
157,06/30/12 06:00:00  AM,22.429,,,,
158,06/30/12 06:30:00  AM,22.333,,,,
159,06/30/12 07:00:00  AM,22.238,,,,
160,06/30/12 07:30:00  AM,22.238,,,,
161,06/30/12 08:00:00  AM,22.238,,,,
162,06/30/12 08:30:00  AM,22.333,,,,
163,06/30/12 09:00:00  AM,22.429,,,,
164,06/30/12 09:30:00  AM,22.621,,,,
165,06/30/12 10:00:00  AM,22.621,,,,
166,06/30/12 10:30:00  AM,22.717,,,,
167,06/30/12 11:00:00  AM,22.812,,,,
168,06/30/12 11:30:00  AM,22.717,,,,
169,06/30/12 12:00:00  PM,22.621,,,,
170,06/30/12 12:30:00  PM,22.621,,,,
171,06/30/12 01:00:00  PM,22.717,,,,
172,06/30/12 01:30:00  PM,22.812,,,,
173,06/30/12 02:00:00  PM,23.004,,,,
174,06/30/12 02:30:00  PM,23.292,,,,
175,06/30/12 03:00:00  PM,23.100,,,,
176,06/30/12 03:30:00  PM,23.388,,,,
177,06/30/12 04:00:00  PM,23.581,,,,
178,06/30/12 04:30:00  PM,23.966,,,,
179,06/30/12 05:00:00  PM,24.255,,,,
180,06/30/12 05:30:00  PM,23.773,,,,
181,06/30/12 06:00:00  PM,24.351,,,,
182,06/30/12 06:30:00  PM,23.869,,,,
183,06/30/12 07:00:00  PM,23.869,,,,
184,06/30/12 07:30:00  PM,23.869,,,,
185,06/30/12 08:00:00  PM,23.869,,,,
186,06/30/12 08:30:00  PM,23.966,,,,
187,06/30/12 09:00:00  PM,23.966,,,,
188,06/30/12 09:30:00  PM,23.966,,,,
189,06/30/12 10:00:00  PM,24.062,,,,
190,06/30/12 10:30:00  PM,24.062,,,,
191,06/30/12 11:00:00  PM,23.966,,,,
192,06/30/12 11:30:00  PM,23.966,,,,
193,07/01/12 12:00:00  AM,23.869,,,,
194,07/01/12 12:30:00  AM,23.677,,,,
195,07/01/12 01:00:00  AM,23.581,,,,
196,07/01/12 01:30:00  AM,23.484,,,,
197,07/01/12 02:00:00  AM,23.484,,,,
198,07/01/12 02:30:00  AM,23.388,,,,
199,07/01/12 03:00:00  AM,23.388,,,,
200,07/01/12 03:30:00  AM,23.292,,,,
201,07/01/12 04:00:00  AM,23.292,,,,
202,07/01/12 04:30:00  AM,23.196,,,,
203,07/01/12 05:00:00  AM,23.100,,,,
204,07/01/12 05:30:00  AM,23.004,,,,
205,07/01/12 06:00:00  AM,22.908,,,,
206,07/01/12 06:30:00  AM,22.812,,,,
207,07/01/12 07:00:00  AM,22.812,,,,
208,07/01/12 07:30:00  AM,22.717,,,,
209,07/01/12 08:00:00  AM,22.812,,,,
210,07/01/12 08:30:00  AM,22.717,,,,
211,07/01/12 09:00:00  AM,22.908,,,,
212,07/01/12 09:30:00  AM,23.004,,,,
213,07/01/12 10:00:00  AM,23.004,,,,
214,07/01/12 10:30:00  AM,23.100,,,,
215,07/01/12 11:00:00  AM,23.196,,,,
216,07/01/12 11:30:00  AM,23.100,,,,
217,07/01/12 12:00:00  PM,23.004,,,,
218,07/01/12 12:30:00  PM,23.004,,,,
219,07/01/12 01:00:00  PM,23.100,,,,
220,07/01/12 01:30:00  PM,23.100,,,,
221,07/01/12 02:00:00  PM,23.292,,,,
222,07/01/12 02:30:00  PM,23.773,,,,
223,07/01/12 03:00:00  PM,23.773,,,,
224,07/01/12 03:30:00  PM,23.966,,,,
225,07/01/12 04:00:00  PM,24.158,,,,
226,07/01/12 04:30:00  PM,24.255,,,,
227,07/01/12 05:00:00  PM,24.255,,,,
228,07/01/12 05:30:00  PM,23.869,,,,
229,07/01/12 06:00:00  PM,24.158,,,,
230,07/01/12 06:30:00  PM,23.773,,,,
231,07/01/12 07:00:00  PM,23.773,,,,
232,07/01/12 07:30:00  PM,23.677,,,,
233,07/01/12 08:00:00  PM,23.677,,,,
234,07/01/12 08:30:00  PM,23.581,,,,
235,07/01/12 09:00:00  PM,23.581,,,,
236,07/01/12 09:30:00  PM,23.484,,,,
237,07/01/12 10:00:00  PM,23.484,,,,
238,07/01/12 10:30:00  PM,23.388,,,,
239,07/01/12 11:00:00  PM,23.388,,,,
240,07/01/12 11:30:00  PM,23.388,,,,
241,07/02/12 12:00:00  AM,23.388,,,,
242,07/02/12 12:30:00  AM,23.292,,,,
243,07/02/12 01:00:00  AM,23.292,,,,
244,07/02/12 01:30:00  AM,23.292,,,,
245,07/02/12 02:00:00  AM,23.292,,,,
246,07/02/12 02:30:00  AM,23.292,,,,
247,07/02/12 03:00:00  AM,23.388,,,,
248,07/02/12 03:30:00  AM,23.388,,,,
249,07/02/12 04:00:00  AM,23.581,,,,
250,07/02/12 04:30:00  AM,23.484,,,,
251,07/02/12 05:00:00  AM,23.484,,,,
252,07/02/12 05:30:00  AM,23.484,,,,
253,07/02/12 06:00:00  AM,23.388,,,,
254,07/02/12 06:30:00  AM,23.388,,,,
255,07/02/12 07:00:00  AM,23.292,,,,
256,07/02/12 07:30:00  AM,23.292,,,,
257,07/02/12 08:00:00  AM,23.292,,,,
258,07/02/12 08:30:00  AM,23.388,,,,
259,07/02/12 09:00:00  AM,23.484,,,,
260,07/02/12 09:30:00  AM,23.484,,,,
261,07/02/12 10:00:00  AM,23.484,,,,
262,07/02/12 10:30:00  AM,23.292,,,,
263,07/02/12 11:00:00  AM,23.677,,,,
264,07/02/12 11:30:00  AM,23.677,,,,
265,07/02/12 12:00:00  PM,23.677,,,,
266,07/02/12 12:30:00  PM,23.677,,,,
267,07/02/12 01:00:00  PM,23.677,,,,
268,07/02/12 01:30:00  PM,23.869,,,,
269,07/02/12 02:00:00  PM,23.869,,,,
270,07/02/12 02:30:00  PM,24.351,,,,
271,07/02/12 03:00:00  PM,24.448,,,,
272,07/02/12 03:30:00  PM,24.255,,,,
273,07/02/12 04:00:00  PM,24.158,,,,
274,07/02/12 04:30:00  PM,23.869,,,,
275,07/02/12 05:00:00  PM,24.062,,,,
276,07/02/12 05:30:00  PM,24.158,,,,
277,07/02/12 06:00:00  PM,24.255,,,,
278,07/02/12 06:30:00  PM,24.255,,,,
279,07/02/12 07:00:00  PM,24.351,,,,
280,07/02/12 07:30:00  PM,24.448,,,,
281,07/02/12 08:00:00  PM,24.448,,,,
282,07/02/12 08:30:00  PM,24.448,,,,
283,07/02/12 09:00:00  PM,24.448,,,,
284,07/02/12 09:30:00  PM,24.448,,,,
285,07/02/12 10:00:00  PM,24.448,,,,
286,07/02/12 10:30:00  PM,24.351,,,,
287,07/02/12 11:00:00  PM,24.351,,,,
288,07/02/12 11:30:00  PM,24.255,,,,
289,07/03/12 12:00:00  AM,24.351,,,,
290,07/03/12 12:30:00  AM,24.351,,,,
291,07/03/12 01:00:00  AM,24.448,,,,
292,07/03/12 01:30:00  AM,24.448,,,,
293,07/03/12 02:00:00  AM,24.641,,,,
294,07/03/12 02:30:00  AM,24.738,,,,
295,07/03/12 03:00:00  AM,24.738,,,,
296,07/03/12 03:30:00  AM,24.738,,,,
297,07/03/12 04:00:00  AM,24.641,,,,
298,07/03/12 04:30:00  AM,24.641,,,,
299,07/03/12 05:00:00  AM,24.545,,,,
300,07/03/12 05:30:00  AM,24.448,,,,
301,07/03/12 06:00:00  AM,24.448,,,,
302,07/03/12 06:30:00  AM,24.351,,,,
303,07/03/12 07:00:00  AM,24.351,,,,
304,07/03/12 07:30:00  AM,24.255,,,,
305,07/03/12 08:00:00  AM,24.351,,,,
306,07/03/12 08:30:00  AM,24.448,,,,
307,07/03/12 09:00:00  AM,24.545,,,,
308,07/03/12 09:30:00  AM,24.641,,,,
309,07/03/12 10:00:00  AM,24.641,,,,
310,07/03/12 10:30:00  AM,24.738,,,,
311,07/03/12 11:00:00  AM,24.835,,,,
312,07/03/12 11:30:00  AM,24.835,,,,
313,07/03/12 12:00:00  PM,24.641,,,,
314,07/03/12 12:30:00  PM,24.641,,,,
315,07/03/12 01:00:00  PM,24.738,,,,
316,07/03/12 01:30:00  PM,24.835,,,,
317,07/03/12 02:00:00  PM,25.028,,,,
318,07/03/12 02:30:00  PM,25.513,,,,
319,07/03/12 03:00:00  PM,25.902,,,,
320,07/03/12 03:30:00  PM,26.195,,,,
321,07/03/12 04:00:00  PM,26.292,,,,
322,07/03/12 04:30:00  PM,26.390,,,,
323,07/03/12 05:00:00  PM,26.195,,,,
324,07/03/12 05:30:00  PM,26.390,,,,
325,07/03/12 06:00:00  PM,26.000,,,,
326,07/03/12 06:30:00  PM,26.000,,,,
327,07/03/12 07:00:00  PM,25.805,,,,
328,07/03/12 07:30:00  PM,25.805,,,,
329,07/03/12 08:00:00  PM,25.805,,,,
330,07/03/12 08:30:00  PM,25.805,,,,
331,07/03/12 09:00:00  PM,25.805,,,,
332,07/03/12 09:30:00  PM,25.805,,,,
333,07/03/12 10:00:00  PM,25.805,,,,
334,07/03/12 10:30:00  PM,25.805,,,,
335,07/03/12 11:00:00  PM,25.805,,,,
336,07/03/12 11:30:00  PM,25.805,,,,
337,07/04/12 12:00:00  AM,25.805,,,,
338,07/04/12 12:30:00  AM,25.805,,,,
339,07/04/12 01:00:00  AM,25.805,,,,
340,07/04/12 01:30:00  AM,25.805,,,,
341,07/04/12 02:00:00  AM,25.805,,,,
342,07/04/12 02:30:00  AM,25.902,,,,
343,07/04/12 03:00:00  AM,25.805,,,,
344,07/04/12 03:30:00  AM,25.708,,,,
345,07/04/12 04:00:00  AM,25.708,,,,
346,07/04/12 04:30:00  AM,25.610,,,,
347,07/04/12 05:00:00  AM,25.513,,,,
348,07/04/12 05:30:00  AM,25.416,,,,
349,07/04/12 06:00:00  AM,25.319,,,,
350,07/04/12 06:30:00  AM,25.222,,,,
351,07/04/12 07:00:00  AM,25.222,,,,
352,07/04/12 07:30:00  AM,25.125,,,,
353,07/04/12 08:00:00  AM,25.125,,,,
354,07/04/12 08:30:00  AM,25.125,,,,
355,07/04/12 09:00:00  AM,25.222,,,,
356,07/04/12 09:30:00  AM,25.125,,,,
357,07/04/12 10:00:00  AM,25.319,,,,
358,07/04/12 10:30:00  AM,25.125,,,,
359,07/04/12 11:00:00  AM,25.125,,,,
360,07/04/12 11:30:00  AM,25.125,,,,
361,07/04/12 12:00:00  PM,25.125,,,,
362,07/04/12 12:30:00  PM,25.125,,,,
363,07/04/12 01:00:00  PM,25.028,,,,
364,07/04/12 01:30:00  PM,25.125,,,,
365,07/04/12 02:00:00  PM,25.028,,,,
366,07/04/12 02:30:00  PM,24.931,,,,
367,07/04/12 03:00:00  PM,24.931,,,,
368,07/04/12 03:30:00  PM,24.931,,,,
369,07/04/12 04:00:00  PM,24.931,,,,
370,07/04/12 04:30:00  PM,24.931,,,,
371,07/04/12 05:00:00  PM,24.931,,,,
372,07/04/12 05:30:00  PM,24.931,,,,
373,07/04/12 06:00:00  PM,24.931,,,,
374,07/04/12 06:30:00  PM,25.028,,,,
375,07/04/12 07:00:00  PM,24.931,,,,
376,07/04/12 07:30:00  PM,25.028,,,,
377,07/04/12 08:00:00  PM,24.835,,,,
378,07/04/12 08:30:00  PM,24.738,,,,
379,07/04/12 09:00:00  PM,24.738,,,,
380,07/04/12 09:30:00  PM,24.641,,,,
381,07/04/12 10:00:00  PM,24.641,,,,
382,07/04/12 10:30:00  PM,24.641,,,,
383,07/04/12 11:00:00  PM,24.641,,,,
384,07/04/12 11:30:00  PM,24.641,,,,
385,07/05/12 12:00:00  AM,24.641,,,,
386,07/05/12 12:30:00  AM,24.545,,,,
387,07/05/12 01:00:00  AM,24.545,,,,
388,07/05/12 01:30:00  AM,24.448,,,,
389,07/05/12 02:00:00  AM,24.448,,,,
390,07/05/12 02:30:00  AM,24.351,,,,
391,07/05/12 03:00:00  AM,24.351,,,,
392,07/05/12 03:30:00  AM,24.351,,,,
393,07/05/12 04:00:00  AM,24.255,,,,
394,07/05/12 04:30:00  AM,24.158,,,,
395,07/05/12 05:00:00  AM,24.158,,,,
396,07/05/12 05:30:00  AM,24.062,,,,
397,07/05/12 06:00:00  AM,24.062,,,,
398,07/05/12 06:30:00  AM,23.966,,,,
399,07/05/12 07:00:00  AM,23.869,,,,
400,07/05/12 07:30:00  AM,23.869,,,,
401,07/05/12 08:00:00  AM,23.869,,,,
402,07/05/12 08:30:00  AM,23.869,,,,
403,07/05/12 09:00:00  AM,23.966,,,,
404,07/05/12 09:30:00  AM,23.966,,,,
405,07/05/12 10:00:00  AM,24.062,,,,
406,07/05/12 10:30:00  AM,24.062,,,,
407,07/05/12 11:00:00  AM,24.062,,,,
408,07/05/12 11:30:00  AM,24.158,,,,
409,07/05/12 12:00:00  PM,24.062,,,,
