"Plot Title: ela_meso_6 "
"#","Time, GMT-04:00","Temp, °C()","Host Connected()","Coupler Attached()","Stopped()","End Of File()"
1,06/27/12 12:00:00  AM,22.333,,,,
2,06/27/12 12:30:00  AM,22.238,,,,
3,06/27/12 01:00:00  AM,22.142,,,,
4,06/27/12 01:30:00  AM,22.046,,,,
5,06/27/12 02:00:00  AM,22.046,,,,
6,06/27/12 02:30:00  AM,21.951,,,,
7,06/27/12 03:00:00  AM,21.951,,,,
8,06/27/12 03:30:00  AM,21.855,,,,
9,06/27/12 04:00:00  AM,21.855,,,,
10,06/27/12 04:30:00  AM,21.760,,,,
11,06/27/12 05:00:00  AM,21.760,,,,
12,06/27/12 05:30:00  AM,21.664,,,,
13,06/27/12 06:00:00  AM,21.664,,,,
14,06/27/12 06:30:00  AM,21.664,,,,
15,06/27/12 07:00:00  AM,21.569,,,,
16,06/27/12 07:30:00  AM,21.569,,,,
17,06/27/12 08:00:00  AM,21.569,,,,
18,06/27/12 08:30:00  AM,21.569,,,,
19,06/27/12 09:00:00  AM,21.569,,,,
20,06/27/12 09:30:00  AM,21.664,,,,
21,06/27/12 10:00:00  AM,21.664,,,,
22,06/27/12 10:30:00  AM,21.760,,,,
23,06/27/12 11:00:00  AM,21.760,,,,
24,06/27/12 11:30:00  AM,21.855,,,,
25,06/27/12 12:00:00  PM,22.238,,,,
26,06/27/12 12:30:00  PM,22.429,,,,
27,06/27/12 01:00:00  PM,22.525,,,,
28,06/27/12 01:30:00  PM,22.525,,,,
29,06/27/12 02:00:00  PM,22.429,,,,
30,06/27/12 02:30:00  PM,22.429,,,,
31,06/27/12 03:00:00  PM,22.525,,,,
32,06/27/12 03:30:00  PM,22.717,,,,
33,06/27/12 04:00:00  PM,22.812,,,,
34,06/27/12 04:30:00  PM,23.004,,,,
35,06/27/12 05:00:00  PM,23.196,,,,
36,06/27/12 05:30:00  PM,23.388,,,,
37,06/27/12 06:00:00  PM,23.388,,,,
38,06/27/12 06:30:00  PM,23.581,,,,
39,06/27/12 07:00:00  PM,23.581,,,,
40,06/27/12 07:30:00  PM,23.677,,,,
41,06/27/12 08:00:00  PM,23.773,,,,
42,06/27/12 08:30:00  PM,23.773,,,,
43,06/27/12 09:00:00  PM,23.869,,,,
44,06/27/12 09:30:00  PM,23.869,,,,
45,06/27/12 10:00:00  PM,23.869,,,,
46,06/27/12 10:30:00  PM,23.869,,,,
47,06/27/12 11:00:00  PM,23.869,,,,
