"Plot Title: jenn 1 "
"#","Time, GMT-04:00","Temp, °C()","Intensity, Lux()","Stopped()","End Of File()"
1,08/17/12 03:40:21  PM,24.545,0.0,,
2,08/17/12 03:42:37  PM,,,Logged,Logged
