FishID,Sample type,Lake,Year,Sampling month,Sampling date,Temperature,Conductivity,Vol. pre-filtered water (L),Incub. Start time (24h),Incub. End time (24h),Time elapsed (min),Total length (mm),Fork length (mm),Wet.mass,Mass,Tag analysis date,TDN analysis date,TDP analysis date,DOC analysis date,Tag (µg/L),Tag excretion (µg),Tag.excretion.rate,TDN (µg/L),N excretion (µg),N.excretion.rate,TDP (µg/L),P excretion (µg),P.excretion.rate,DOC (mg/L),C excretion (mg),C excretion (mg C/ind/h),C.excretion.rate,Excreted.CN,Excreted.NP,Excreted.CP,Notes,Total.length.cm,Fork.length,ID,Species.code,Period,SiteClass,Treatment,massnorm.N.excr,massnorm.P.excr,massnorm.C.excr,massnorm.Tag.excr,massnorm.NP.excr,massnorm.CN.excr,massnorm.CP.excr,massnorm.NP.excr2,massnorm.NAg.excr,massnorm.PAg.excr
14L22214,F14,222,2014,8,13,17,NA,0.75,1005,1037,32,67,65,2.618,0.6545,2014-08-13,2016-03-25,2014-08-13,NA,14.5981282,5.641392755,10.57761142,NA,NA,NA,13.92,7.47,14.01,NA,NA,NA,NA,NA,NA,NA,NA,6.7,65,NA,NA,During,Impact,1,NA,21.405653170359052,NA,16.161361986249045,NA,NA,NA,NA,NA,11.81008594849668
14L22215,F15,222,2014,8,13,17,NA,0.75,1005,1037,32,70,66,2.924,0.731,2014-08-13,2016-03-25,2014-08-13,NA,14.46673702,5.510001574,10.33125295,NA,NA,NA,12.45,6.37,11.94,NA,NA,NA,NA,NA,NA,NA,NA,7,66,NA,NA,During,Impact,1,NA,16.333789329685363,NA,14.13304097127223,NA,NA,NA,NA,NA,10.305139223214935
14L22216,F16,222,2014,8,13,17,NA,0.75,1007,1038,31,71,68,3.352,0.838,2014-08-13,2016-03-25,2014-08-13,NA,13.39766808,4.440932629,8.595353476,NA,NA,NA,9.29,4,7.75,NA,NA,NA,NA,NA,NA,NA,NA,7.1,68,NA,NA,During,Impact,1,NA,9.24821002386635,NA,10.256985054892601,NA,NA,NA,NA,NA,8.039712021107656
14L22217,F17,222,2014,8,13,17,NA,0.75,1008,1038,30,83,78,5.2,1.3,2014-08-13,2016-03-25,2014-08-13,NA,13.27454609,4.31781064,8.63562128,NA,NA,NA,13.36,7.05,14.1,NA,NA,NA,NA,NA,NA,NA,NA,8.3,78,NA,NA,During,Impact,1,NA,10.846153846153845,NA,6.6427856,NA,NA,NA,NA,NA,14.55888301762117
14L22218,F18,222,2014,8,13,17,NA,0.75,1008,1039,31,78,72,3.628,0.907,2014-08-13,2016-03-25,2014-08-13,NA,16.5866252,7.629889756,14.76752856,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.8,72,NA,NA,During,Impact,1,NA,NA,NA,16.281729393605293,NA,NA,NA,NA,NA,NA
14L22219,F19,222,2014,8,13,17,NA,0.75,1009,1039,30,78,76,4.161,1.04025,2014-08-13,2016-03-25,2014-08-13,NA,16.03144455,7.074709101,14.1494182,418.6651424,74.96975783,149.9395157,12.39,6.32,12.65,NA,NA,NA,NA,NA,26.25225026,NA,NA,7.8,76,NA,NA,During,Impact,1,144.13796270127372,12.1605383321317,NA,13.60194011055035,26.245765029361937,NA,NA,25.236481864936316,80.99034761473695,7.9717647566126315
14L22220,F20,222,2014,8,13,17,NA,0.75,1009,1040,31,94,90,8.508,2.127,2014-08-13,2016-03-25,2014-08-13,NA,NA,NA,NA,NA,NA,NA,14.67,8.03,15.55,NA,NA,NA,NA,NA,NA,NA,NA,9.4,90,NA,NA,During,Impact,1,NA,7.3107663375646466,NA,NA,NA,NA,NA,NA,NA,NA
14L222C1,C1,222,2014,8,13,17,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,7.496427576,-1.46030787,NA,NA,NA,NA,4.01,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L222C2,C2,222,2014,8,13,17,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,8.709408008,-0.247327438,NA,NA,NA,NA,3.96,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14L222C3,C3,222,2014,8,13,17,NA,0.75,958,1038,40,NA,NA,NA,NA,2014-08-13,2016-03-25,2014-08-13,NA,9.960951715,1.004216269,NA,NA,NA,NA,3.8,-0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,During,Impact,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
